seed,suggestion,competition_level,category,competition_score,suggestion_length,opportunity_score
yosemite wall art,mountain photography prints,Moderate,National Parks,2,27,1.3170731707317074
yosemite wall art,wildlife wall hangings,Moderate,National Parks,2,22,1.0731707317073171
yosemite wall art,watercolor nature scenes,Moderate,National Parks,2,24,1.170731707317073
yosemite wall art,nature landscape prints,Moderate,National Parks,2,23,1.1219512195121952
yosemite wall art,outdoor adventure art,Moderate,National Parks,2,21,1.024390243902439
grand canyon art,national park wall decor,Moderate,National Parks,2,24,1.170731707317073
grand canyon art,southwestern landscape paintings,Moderate,National Parks,2,32,1.5609756097560976
grand canyon art,outdoor adventure posters,Moderate,National Parks,2,25,1.2195121951219512
grand canyon art,vintage travel posters,Moderate,National Parks,2,22,1.0731707317073171
grand canyon art,rustic cabin artwork,Moderate,National Parks,2,20,0.975609756097561
camping wall art,custom camping couple print,Moderate,National Parks,2,27,1.3170731707317074
camping wall art,customizable camping poster,Moderate,National Parks,2,27,1.3170731707317074
camping wall art,custom wooden camping wall decor,Moderate,National Parks,2,32,1.5609756097560976
camping wall art,personalized camping map art,Moderate,National Parks,2,28,1.3658536585365855
retro travel art,personalized city skyline art,Moderate,Vintage Travel,2,29,1.4146341463414633
retro travel art,personalized travel wall decor,Moderate,Vintage Travel,2,30,1.4634146341463414
retro travel art,personalized travel poster,Moderate,Vintage Travel,2,26,1.2682926829268293
retro travel art,custom travel print,Moderate,Vintage Travel,2,19,0.926829268292683
vintage destination art,vintage destination art,Moderate,Vintage Travel,2,23,1.1219512195121952
vintage map prints,vintage map prints,Moderate,Maps/Cartography,2,18,0.8780487804878049
vintage map prints,personalized travel map,Moderate,Maps/Cartography,2,23,1.1219512195121952
vintage map prints,custom location map,Moderate,Maps/Cartography,2,19,0.926829268292683
vintage map prints,custom map for wedding,Moderate,Maps/Cartography,2,22,1.0731707317073171
vintage map prints,custom map print,Moderate,Maps/Cartography,2,16,0.7804878048780488
vintage atlas prints,vintage atlas prints,Moderate,Maps/Cartography,2,20,0.975609756097561
vintage city plans,vintage city plans,Moderate,Maps/Cartography,2,18,0.8780487804878049
vintage botanical prints,vintage botanical prints,Moderate,Botanical/Scientific,2,24,1.170731707317073
vintage medical art,vintage medical art,Moderate,Botanical/Scientific,2,19,0.926829268292683
vintage medical art,personalized medical art for nurse,Moderate,Botanical/Scientific,2,34,1.6585365853658536
vintage medical art,medical graduation gift with name,Moderate,Botanical/Scientific,2,33,1.6097560975609757
vintage medical art,personalized medical student gift,Moderate,Botanical/Scientific,2,33,1.6097560975609757
vintage medical art,personalized doctor portrait,Moderate,Botanical/Scientific,2,28,1.3658536585365855
vintage herbarium,vintage herbarium,Moderate,Botanical/Scientific,2,17,0.8292682926829268
vintage herbarium,custom botanical gift,Moderate,Botanical/Scientific,2,21,1.024390243902439
vintage herbarium,engraved herbarium display,Moderate,Botanical/Scientific,2,26,1.2682926829268293
vintage herbarium,personalized pressed flower art,Moderate,Botanical/Scientific,2,31,1.5121951219512195
vintage herbarium,custom herbarium kit,Moderate,Botanical/Scientific,2,20,0.975609756097561
vintage portrait art,vintage portrait art,Moderate,Vintage Photography,2,20,0.975609756097561
vintage american posters,vintage american posters,Moderate,Vintage Americana,2,24,1.170731707317073
solar system art,personalized space nursery art,Moderate,Space/Science,2,30,1.4634146341463414
solar system art,solar system wall hanging with names,Moderate,Space/Science,2,36,1.7560975609756098
solar system art,engraved solar system artwork,Moderate,Space/Science,2,29,1.4146341463414633
solar system art,custom planet map art,Moderate,Space/Science,2,21,1.024390243902439
solar system art,personalized solar system print,Moderate,Space/Science,2,31,1.5121951219512195
anniversary gift custom,personalized anniversary portrait,High,Personalized,1,33,0.8048780487804879
anniversary gift custom,personalized photo frame anniversary gift,High,Personalized,1,41,1.0
anniversary gift custom,custom anniversary map print,High,Personalized,1,28,0.6829268292682927
anniversary gift custom,personalized song lyric print,High,Personalized,1,29,0.7073170731707317
anniversary gift custom,monogrammed anniversary gift,High,Personalized,1,28,0.6829268292682927
pet portrait custom,custom pet portrait from photo,High,Personalized,1,30,0.7317073170731707
pet portrait custom,personalized dog memorial,High,Personalized,1,25,0.6097560975609756
pet portrait custom,digital pet portrait custom,High,Personalized,1,27,0.6585365853658537
pet portrait custom,personalized cat portrait,High,Personalized,1,25,0.6097560975609756
pet portrait custom,custom dog portrait,High,Personalized,1,19,0.4634146341463415
